"COMPLAINTNUMBER","ACCIDENTDATE","YEAR","MILITARYTIME","DAYOFWEEK","ACCIDENTTYPE","NUMINVOLVED","NUMINJURED","NUMFATALITIES","FEETFROMINTERSECTION","CITYQUADRANT","CONSTRUCTION","ONSTREET","COLLISIONTYPE","WEATHER","TRAFFICCONDITION","ROADWAYTYPE","TRAFFICCONTROL","MPDLOCATION","CRASHDURATION","LATITUDE","LONGITUDE","TAXIINVOLVED","TOURBUSINVOLVED","MILITARYHOUR","ACCIDENTDATETIME"
15042575,2015-03-27,2015,"0950","Friday","Prop. Damage",2,0,0,0,"NW","N","Within 100ft of Intersection","Right Turn Hit Veh.","Rain","Heavy","Two-Way, Divided Unprotected","Signal","MASSACHUSETTS AVE NW / WISCONSIN AVE NW",0,38.928614,-77.073158,"","","9",2015-03-27 09:50:00
15029464,2015-03-02,2015,"0715","Monday","",2,0,0,0,"NW","N","Not at Intersection","Backing Hit Parked Veh.","Clear","Other","One-Way, Not Divided","None","2238 HALL PLACE NW",0,38.919757,-77.072446,"","","7",2015-03-02 07:15:00
15031352,2015-03-06,2015,"1303","Friday","",2,0,0,0,"NW","N","Within 100ft of Intersection","Side Swiped","Clear","Medium","Two-Way, Not Divided","Signal","4900 NEBRASKA AVE NW",0,38.954029,-77.072212,"","","13",2015-03-06 13:03:00
15036526,2015-03-16,2015,"0758","Monday","Prop. Damage",2,3,0,0,"NW","N","Not at Intersection","Rear End","Clear","Heavy","Two-Way, Not Divided","None","3700 NEBRASKA AVENUE NW",0,38.939112,-77.085798,"","","7",2015-03-16 07:58:00
15030759,2015-03-04,2015,"2024","Wednesday","",1,1,0,0,"NW","N","At Intersection","Straight Hit Ped.","Rain","Light","Two-Way, Not Divided","Stop Sign","5300 43rd ST. NW",1,38.95912,-77.083828,"","","20",2015-03-04 20:24:00
15037688,2015-03-18,2015,"1000","Wednesday","",2,0,0,0,"NW","N","Not at Intersection","Parked Vehicle","Clear","Light","Two-Way, Divided Unprotected","None","4300 JENNIFER ST NW",60,38.958987,-77.083947,"","","10",2015-03-18 10:00:00
15034373,2015-03-12,2015,"0740","Thursday","Injury",2,2,0,0,"NW","N","Within 100ft of Intersection","Rear End","Clear","Heavy","Two-Way, Not Divided","Signal","5300 WISCONSIN AVE. NW",1,38.959694,-77.085739,"","","7",2015-03-12 07:40:00
15035215,2015-03-13,2015,"1708","Friday","",2,0,0,100,"NW","N","Within 100ft of Intersection","Side Swiped","Clear","Medium","Two-Way, Not Divided","None","5300 WISCONSIN AVE NW",2,38.959694,-77.085739,"","","17",2015-03-13 17:08:00
15030404,2015-03-04,2015,"0302","Wednesday","Prop. Damage",2,0,0,0,"NW","N","Private Property","Backing Hit Parked Veh.","Clear","Other","Other","None","4130 WISCONSIN AVE NW",0,38.942971,-77.077317,"","","3",2015-03-04 03:02:00
15032388,2015-03-08,2015,"1200","Sunday","Injury",2,0,0,0,"NW","N","Within 100ft of Intersection","Right Angle","Clear","Medium","Two-Way, Divided Unprotected","None","CONNECTICUT AVE NW / MCKINLEY ST NW",0,38.964895,-77.075573,"","","12",2015-03-08 12:00:00
15040645,2015-03-23,2015,"1856","Monday","Prop. Damage",2,0,0,0,"NW","N","Not at Intersection","Rear End","Clear","Medium","Two-Way, Not Divided","None","5300 WISCONSIN AVE NW",2,38.959669,-77.085698,"","","18",2015-03-23 18:56:00
15044796,2015-03-31,2015,"1319","Tuesday","Prop. Damage",2,0,0,0,"NW","N","Not at Intersection","Side Swiped","Clear","Medium","Two-Way, Not Divided","None","5300 WISCONSIN AVE NW",0,38.959669,-77.085698,"","","13",2015-03-31 13:19:00
15034908,2015-03-13,2015,"0535","Friday","Prop. Damage",1,0,0,0,"NW","N","At Intersection","Head On","Clear","Light","Two-Way, Divided Unprotected","Stop Sign","1800 FOXHALL RD NW",2,38.913872,-77.086876,"","","5",2015-03-13 05:35:00
15031360,2015-03-06,2015,"1334","Friday","",1,1,0,0,"NW","N","Private Property","Left Turn Hit Ped.","Other","Medium","Other","None","4005 WISCONSIN AVENUE NW",1,38.941733,-77.07572,"","","13",2015-03-06 13:34:00
15040610,2015-03-23,2015,"1800","Monday","Injury",1,1,0,120,"NW","N","Not at Intersection","Straight Hit Ped.","Clear","Medium","Other","Signal","4005 WISCONSIN AVENUE NW",6,38.941733,-77.07572,"","","18",2015-03-23 18:00:00
15039834,2015-03-22,2015,"0459","Sunday","Prop. Damage",2,0,0,0,"NW","N","Not at Intersection","Parked Vehicle","Clear","Light","Two-Way, Not Divided","None","3900 MCKINLEY ST NW",1,38.964691,-77.077331,"","","4",2015-03-22 04:59:00
15029753,2015-03-02,2015,"1830","Monday","Prop. Damage",2,0,0,0,"","N","Within 100ft of Intersection","Side Swiped","Clear","Heavy","Two-Way, Divided Unprotected","Signal","3900 Massachusetts avenue",120,38.931493,-77.077196,"","","18",2015-03-02 18:30:00
15030444,2015-03-04,2015,"0800","Wednesday","Injury",3,1,0,0,"NW","N","At Intersection","Rear End","Clear","Medium","One-Way, Not Divided","Stop Sign","39TH ST NW / KLINGLE PL NW",0,38.92977,-77.07706,"","","8",2015-03-04 08:00:00
15036596,2015-03-16,2015,"1033","Monday","Prop. Damage",2,0,0,0,"NW","N","At Intersection","Side Swiped","Clear","Medium","Two-Way, Not Divided","Stop Sign","39TH ST NW / RENO RD NW",0,38.95852,-77.07714,"","","10",2015-03-16 10:33:00
15030621,2015-03-04,2015,"1429","Wednesday","Injury",2,1,0,150,"NW","N","Not at Intersection","Other","Rain","Light","Two-Way, Divided Unprotected","Unknown","3900 MASSACHUSETTS AVENUE NW",60,38.932306,-77.07758,"","","14",2015-03-04 14:29:00
15034178,2015-03-11,2015,"2026","Wednesday","",1,0,0,0,"NW","N","Within 100ft of Intersection","Non-Collision Accident","Clear","Light","Two-Way, Divided Positive","Signal","M\CANAL RD NW",1,38.90912,-77.092803,"","","20",2015-03-11 20:26:00
15031029,2015-03-05,2015,"1413","Thursday","Prop. Damage",1,0,0,0,"NW","N","Not at Intersection","Fixed Object","Snow","Medium","Two-Way, Not Divided","Signal","2300 FOXHALL ROAD NW",0,38.92077,-77.090111,"","","14",2015-03-05 14:13:00
15031900,2015-03-07,2015,"1245","Saturday","Prop. Damage",4,0,0,0,"NW","N","Not at Intersection","Rear End","Clear","Medium","Two-Way, Not Divided","None","5000 MASS AVE NW",5,38.946887,-77.09893,"","","12",2015-03-07 12:45:00
15040287,2015-03-23,2015,"0653","Monday","",3,0,0,0,"NW","N","Not at Intersection","Other","Clear","Unknown","Two-Way, Not Divided","None","5270 LOUGHBORO ROAD NW",0,38.935506,-77.110455,"","","6",2015-03-23 06:53:00
15034933,2015-03-13,2015,"0753","Friday","Prop. Damage",2,0,0,0,"NW","N","At Intersection","Left Turn Hit Veh.","Clear","","Two-Way, Not Divided","Signal","5255 LOUGHBORO RD NW",1,38.935879,-77.109245,"","","7",2015-03-13 07:53:00
15041420,2015-03-25,2015,"0820","Wednesday","",2,0,0,0,"NW","N","At Intersection","Rear End","Clear","Medium","Two-Way, Divided Unprotected","Signal","5255 LOUGHBORO RD NW",0,38.935879,-77.109245,"","","8",2015-03-25 08:20:00
15038245,2015-03-19,2015,"1230","Thursday","Injury",1,1,0,0,"NW","N","Within 100ft of Intersection","Fixed Object","Clear","Unknown","Two-Way, Divided Positive","Signal","5201 MACARTHUR BLVD NW",0,38.92661,-77.103044,"","","12",2015-03-19 12:30:00
15033777,2015-03-11,2015,"30","Wednesday","Injury",1,2,0,0,"NW","N","Not at Intersection","Head On","Fog/Mist","Unknown","Two-Way, Divided Unprotected","None","CANAL ROAD/RESERVOIR RD NW",2,38.91913,-77.1006,"","","",NA
15030124,2015-03-03,2015,"1525","Tuesday","Prop. Damage",2,0,0,0,"NW","N","At Intersection","Rear End","Rain","Medium","One-Way, Not Divided","Stop Sign","CANAL RD NW / RESERVOIR RD NW",0,38.919037,-77.100534,"","","15",2015-03-03 15:25:00
15042785,2015-03-27,2015,"1647","Friday","",2,0,0,0,"NW","N","Within 100ft of Intersection","Side Swiped","Clear","Heavy","Two-Way, Not Divided","Signal","3131 NEBRASKA AVENUE NW",1,38.932663,-77.092196,"","","16",2015-03-27 16:47:00
15030157,2015-03-03,2015,"1112","Tuesday","",2,0,0,0,"NW","N","N/A","Right Turn Hit Veh.","Unknown","Unknown","Unknown","Unknown","4400 MASSACHUSETTS AVENUE NW",1,38.939082,-77.088415,"","","11",2015-03-03 11:12:00
15040860,2015-03-24,2015,"0825","Tuesday","Prop. Damage",1,0,0,0,"NW","Y","Not at Intersection","Backing Hit Moving Veh.","Clear","Medium","Two-Way, Not Divided","None","5212 45TH ST NW",0,38.957636,-77.088853,"","","8",2015-03-24 08:25:00
15034960,2015-03-13,2015,"0841","Friday","Prop. Damage",2,0,0,300,"NW","N","Not at Intersection","Other","Clear","Light","Two-Way, Not Divided","None","3722 CHESAPEAKE ST NW",14,38.951059,-77.09004,"","","8",2015-03-13 08:41:00
15029695,2015-03-02,2015,"1640","Monday","Prop. Damage",2,0,0,0,"NW","N","At Intersection","Left Turn Hit Veh.","Clear","Heavy","Two-Way, Not Divided","Signal","5400 Connecticut Ave NW",5,38.961126,-77.073436,"","","16",2015-03-02 16:40:00
15037891,2015-03-18,2015,"1655","Wednesday","",2,0,0,0,"NW","N","Within 100ft of Intersection","Side Swiped","Clear","Unknown","Two-Way, Not Divided","Signal","3800 RESERVOIR RD NW",5,38.910511,-77.074318,"","","16",2015-03-18 16:55:00
15034593,2015-03-12,2015,"1400","Thursday","",2,0,0,0,"NW","N","Within 100ft of Intersection","Side Swiped","Clear","Unknown","Two-Way, Divided Unprotected","None","3825 WISCONSIN AVENUE NW",0,38.939355,-77.07398,"","","14",2015-03-12 14:00:00
15032406,2015-03-08,2015,"1245","Sunday","Injury",2,1,0,0,"NW","N","At Intersection","Left Turn Hit Ped.","Clear","Light","Two-Way, Divided Unprotected","Signal","GARFIELD ST NW / WISCONSIN AVE NW",3,38.927532,-77.073198,"","","12",2015-03-08 12:45:00
15030741,2015-03-04,2015,"1911","Wednesday","Injury",2,1,0,0,"NW","N","At Intersection","Right Angle","Clear","Unknown","Two-Way, Divided Unprotected","None","2700 WISCONSIN AVENUE NW",0,38.924767,-77.073578,"","","19",2015-03-04 19:11:00
15044480,2015-03-30,2015,"1928","Monday","Injury",2,1,0,0,"NW","N","At Intersection","19","Clear","Medium","Two-Way, Divided Positive","Stop Sign","3900 Canal Rd NW",0,38.905428,-77.074947,"","","19",2015-03-30 19:28:00
15030498,2015-03-04,2015,"0958","Wednesday","Prop. Damage",2,0,0,10,"NW","N","Within 100ft of Intersection","Side Swiped","Clear","Light","Two-Way, Divided Unprotected","None","35TH ST NW / WISCONSIN AVE NW",0,38.917729,-77.069337,"","","9",2015-03-04 09:58:00
15044719,2015-03-31,2015,"1000","Tuesday","Injury",1,1,0,15,"NW","N","Other","Straight Hit Ped.","Clear","Heavy","Two-Way, Divided Unprotected","Signal","2100 Blk Wisconsin Ave NW",3,38.917783,-77.069557,"","","10",2015-03-31 10:00:00
15040088,2015-03-22,2015,"1814","Sunday","Injury",2,1,0,0,"NW","N","Other","Rear End","Clear","Medium","Two-Way, Divided Unprotected","None","0 FRANCIS SCOTT KEY BRG NW",1,38.903893,-77.069232,"","","18",2015-03-22 18:14:00
15037642,2015-03-18,2015,"0915","Wednesday","Prop. Damage",2,0,0,0,"NW","N","Not at Intersection","Right Angle","Clear","Medium","Two-Way, Not Divided","Stop Sign","MASS AVE & WESTOVER PLACE NW",5,38.936735,-77.084276,"","","9",2015-03-18 09:15:00
15041763,2015-03-25,2015,"2015","Wednesday","",2,0,0,0,"NW","N","At Intersection","Right Angle","Clear","Light","Two-Way, Divided Unprotected","Stop Sign","DEXTER ST NW / FOXHALL RD NW",0,38.92509,-77.08992,"","","20",2015-03-25 20:15:00
15043415,2015-03-28,2015,"1822","Saturday","Prop. Damage",2,0,0,0,"NW","N","Within 100ft of Intersection","Side Swiped","Clear","Light","Two-Way, Not Divided","None","4621 42ND STREET NW",1,38.950547,-77.08174,"","","18",2015-03-28 18:22:00
15032452,2015-03-08,2015,"1409","Sunday","Injury",1,1,0,0,"NW","N","N/A","Fixed Object","Clear","Unknown","Two-Way, Not Divided","None","5255 WESTERN AVE NW",1,38.958582,-77.087604,"","","14",2015-03-08 14:09:00
15034479,2015-03-12,2015,"1238","Thursday","Prop. Damage",2,0,0,0,"NW","N","Within 100ft of Intersection","Side Swiped","Clear","Heavy","Two-Way, Not Divided","None","44TH ST NW / RESERVOIR RD NW",67,38.91267,-77.08154,"","","12",2015-03-12 12:38:00
15032852,2015-03-09,2015,"1151","Monday","Prop. Damage",2,0,0,0,"NW","N","Not at Intersection","Other","Clear","Light","Two-Way, Not Divided","None","1524 44TH ST NW",0,38.909383,-77.080631,"","","11",2015-03-09 11:51:00
15029290,2015-03-01,2015,"1824","Sunday","Prop. Damage",2,0,0,0,"NW","N","Within 100ft of Intersection","Other","Sleet/Hail","Medium","Two-Way, Not Divided","None","4200 MASSACHUSETTS AVE NW",116,38.934605,-77.082138,"","","18",2015-03-01 18:24:00
15031975,2015-03-07,2015,"0755","Saturday","",2,0,0,30,"NW","N","Within 100ft of Intersection","Side Swiped","Clear","Medium","Two-Way, Not Divided","Stop Sign","4100 RIVER RD NW",470,38.949081,-77.081268,"","","7",2015-03-07 07:55:00
15041514,2015-03-25,2015,"1245","Wednesday","",2,0,0,0,"NW","N","Within 100ft of Intersection","Side Swiped","Clear","Medium","Two-Way, Not Divided","None","44TH ST NW / RESERVOIR RD NW",0,38.91267,-77.08154,"","","12",2015-03-25 12:45:00
15033823,2015-03-11,2015,"0804","Wednesday","Prop. Damage",2,0,0,0,"NW","N","Within 100ft of Intersection","Side Swiped","Clear","Medium","Two-Way, Not Divided","Signal","NEBRASKA AVE NW / VAN NESS ST NW",0,38.943166,-77.081401,"","","8",2015-03-11 08:04:00
15043476,2015-03-28,2015,"2031","Saturday","",2,0,0,0,"NW","N","Private Property","Parked Vehicle","Clear","Medium","Two-Way, Not Divided","None","4100 MASSACHUSETTS AVENUE NW",1,38.933555,-77.081832,"","","20",2015-03-28 20:31:00
15042808,2015-03-27,2015,"1722","Friday","",2,0,0,0,"NW","N","Within 100ft of Intersection","Side Swiped","Clear","Heavy","Two-Way, Divided Unprotected","None","5300 WISCONSIN AVENUE NW",0,38.959417,-77.085617,"","","17",2015-03-27 17:22:00
15036868,2015-03-16,2015,"1905","Monday","",2,0,0,0,"NW","N","Within 100ft of Intersection","Side Swiped","Clear","Light","Two-Way, Not Divided","None","4900 WISCONSIN AVE NW",1,38.953465,-77.082428,"","","19",2015-03-16 19:05:00
15029733,2015-03-02,2015,"1844","Monday","Prop. Damage",2,0,0,0,"NW","N","Not at Intersection","Side Swiped","Clear","Heavy","Two-Way, Not Divided","None","4301 MASSACHUSETTS AVENUE NW",1,38.936733,-77.083153,"","","18",2015-03-02 18:44:00
15029966,2015-03-03,2015,"0920","Tuesday","Prop. Damage",2,0,0,0,"NW","N","At Intersection","Right Angle","Clear","Heavy","Two-Way, Not Divided","Stop Sign","ELLICOTT ST NW / RIVER RD NW",0,38.95331,-77.08675,"","","9",2015-03-03 09:20:00
15038771,2015-03-20,2015,"1206","Friday","Prop. Damage",4,0,0,0,"NW","N","At Intersection","Rear End","Rain","Unknown","Two-Way, Not Divided","Signal","1700 FOXHALL RD NW",0,38.913087,-77.085337,"","","12",2015-03-20 12:06:00
15035635,2015-03-14,2015,"1056","Saturday","Prop. Damage",2,0,0,0,"NW","N","Not at Intersection","Side Swiped","Rain","Light","Two-Way, Not Divided","None","4500 MACARTHUR BLVD NW",2,38.90827,-77.085236,"","","10",2015-03-14 10:56:00
15030564,2015-03-04,2015,"1220","Wednesday","Prop. Damage",2,0,0,0,"NW","N","Other","Ran Off Roadway","Clear","Light","Other","Signal","MASSACHUSETTS AVE NW / WARD CIR NW",0,38.937544,-77.085812,"","","12",2015-03-04 12:20:00
15035909,2015-03-14,2015,"2219","Saturday","",2,0,0,0,"NW","N","Not at Intersection","Side Swiped","Fog/Mist","Medium","Two-Way, Not Divided","Signal","2300 WISCONSIN AVE NW",2,38.920201,-77.071604,"","","22",2015-03-14 22:19:00
15039552,2015-03-21,2015,"1805","Saturday","",2,0,0,0,"NW","N","At Intersection","Side Swiped","Clear","Medium","Two-Way, Divided Positive","Signal","3600 M STREET NW",0,38.905196,-77.069119,"","","18",2015-03-21 18:05:00
15041384,2015-03-25,2015,"0545","Wednesday","Prop. Damage",2,0,0,0,"NW","N","At Intersection","Rear End","Clear","Light","Two-Way, Divided Positive","Signal","3600 M STREET NW",0,38.905226,-77.069898,"","","5",2015-03-25 05:45:00
15036161,2015-03-14,2015,"1800","Saturday","",1,0,0,0,"NW","N","At Intersection","Ran Off Roadway","Unknown","Unknown","Two-Way, Not Divided","Stop Sign","1524 35TH STREET NW",-420,38.909482,-77.069403,"","","18",2015-03-14 18:00:00
15033593,2015-03-10,2015,"1816","Tuesday","Prop. Damage",2,0,0,20,"NW","N","Within 100ft of Intersection","Backing Hit Moving Veh.","Rain","Light","Two-Way, Not Divided","None","3600 UPTON STREET NW",0,38.942041,-77.0694,"","","18",2015-03-10 18:16:00
15038876,2015-03-20,2015,"1610","Friday","Prop. Damage",2,0,0,0,"NW","N","Not at Intersection","Side Swiped","Rain","Heavy","Two-Way, Not Divided","None","1301 35TH STREET NW",0,38.906862,-77.068791,"","","16",2015-03-20 16:10:00
15031738,2015-03-07,2015,"0254","Saturday","",2,0,0,0,"NW","N","Not at Intersection","Side Swiped","Clear","Medium","One-Way, Not Divided","None","17301 M ST NW",2,38.905038,-77.069422,"","","2",2015-03-07 02:54:00
15041290,2015-03-24,2015,"2156","Tuesday","Prop. Damage",2,0,0,0,"NW","N","N/A","Left Turn Hit Veh.","Clear","Light","One-Way, Not Divided","None","WHITEHURST FWY NW",1,38.904072,-77.069,"","","21",2015-03-24 21:56:00
15037771,2015-03-17,2015,"2200","Tuesday","",2,0,0,0,"NW","N","Not at Intersection","Parked Vehicle","Clear","Unknown","Two-Way, Not Divided","None","5309 CHEVY CHASE PARKWAY NW",-720,38.959315,-77.069787,"","","22",2015-03-17 22:00:00
15044991,2015-03-31,2015,"1830","Tuesday","",2,0,0,0,"NW","N","Not at Intersection","Backing Hit Parked Veh.","Clear","Light","Two-Way, Not Divided","None","3600 N STREET NW",5,38.906589,-77.070552,"","","18",2015-03-31 18:30:00
15036166,2015-03-15,2015,"1159","Sunday","Prop. Damage",2,0,0,0,"NW","N","At Intersection","Right Angle","Clear","Medium","Two-Way, Not Divided","Stop Sign","CHESAPEAKE ST NW / RENO RD NW",1,38.950728,-77.071705,"","","11",2015-03-15 11:59:00
15030497,2015-03-04,2015,"0915","Wednesday","Prop. Damage",2,0,0,0,"NW","N","Not at Intersection","Backing Hit Parked Veh.","Clear","Light","Two-Way, Not Divided","None","3610 O, STREET NW",5,38.914257,-77.071648,"","","9",2015-03-04 09:15:00
15030244,2015-03-03,2015,"1000","Tuesday","Prop. Damage",2,0,0,0,"NW","N","Not at Intersection","Side Swiped","Unknown","Unknown","Two-Way, Divided Unprotected","None","3615 ALBEMARLE ST NW",150,38.948227,-77.070904,"","","10",2015-03-03 10:00:00
15044818,2015-03-31,2015,"1353","Tuesday","",1,0,0,10,"NW","N","Within 100ft of Intersection","Side Swiped","Clear","Light","One-Way, Not Divided","None","37TH ST NW / P ST NW",7,38.90866,-77.07111,"","","13",2015-03-31 13:53:00
15036061,2015-03-15,2015,"0254","Sunday","Injury",2,1,0,50,"NW","N","Within 100ft of Intersection","Right Angle","Clear","Medium","Two-Way, Divided Unprotected","Signal","WISCONSIN AVE NW",0,38.919814,-77.071162,"","","2",2015-03-15 02:54:00
15030812,2015-03-04,2015,"2124","Wednesday","",2,0,0,0,"NW","N","Not at Intersection","Parked Vehicle","Rain","Unknown","Two-Way, Not Divided","Unknown","37TH ST NW / N ST NW",0,38.90668,-77.07156,"","","21",2015-03-04 21:24:00
15029970,2015-03-03,2015,"0956","Tuesday","Prop. Damage",2,0,0,50,"NW","N","Within 100ft of Intersection","Side Swiped","Clear","Medium","Two-Way, Divided Unprotected","Unknown","4500 CONNECTICUT AVENUE NW",0,38.948099,-77.066393,"","","9",2015-03-03 09:56:00
15039444,2015-03-21,2015,"1624","Saturday","",2,0,0,0,"NW","N","Within 100ft of Intersection","Side Swiped","Clear","Unknown","Two-Way, Divided Unprotected","None","2311 WISCONSIN AVENUE NW",0,38.920661,-77.071431,"","","16",2015-03-21 16:24:00
15034918,2015-03-13,2015,"0657","Friday","",2,0,0,0,"NW","N","Within 100ft of Intersection","","","","","","3600 RESERVOIR RD NW",0,38.912418,-77.071404,"","","6",2015-03-13 06:57:00
15039937,2015-03-22,2015,"1300","Sunday","Injury",2,1,0,0,"NW","N","N/A","Backing Hit Parked Veh.","Clear","Light","Other","None","3300 M ST NW",0,38.90506,-77.066215,"","","13",2015-03-22 13:00:00
15034303,2015-03-12,2015,"55","Thursday","",2,0,0,0,"NW","N","Not at Intersection","","","","","","3333 M STREET NW",0,38.905252,-77.067358,"","","",NA
15031136,2015-03-05,2015,"2022","Thursday","",2,0,0,0,"NW","N","Within 100ft of Intersection","Side Swiped","Snow","Light","Two-Way, Not Divided","Signal","R ST NW / WISCONSIN AVE NW",2,38.913727,-77.066687,"","","20",2015-03-05 20:22:00
15042180,2015-03-26,2015,"1628","Thursday","Prop. Damage",2,0,0,100,"NW","N","Within 100ft of Intersection","Side Swiped","Clear","Light","Two-Way, Divided Unprotected","None","3301 WATER ST NW",62,38.903751,-77.066322,"","","16",2015-03-26 16:28:00
15041257,2015-03-24,2015,"2029","Tuesday","Prop. Damage",2,0,0,0,"NW","N","At Intersection","Rear End","Clear","Medium","Two-Way, Divided Positive","Signal","34TH ST NW / MASSACHUSETTS AVE NW",1,38.92432,-77.06637,"","","20",2015-03-24 20:29:00
15044913,2015-03-31,2015,"1632","Tuesday","Prop. Damage",2,1,0,0,"NW","N","Not at Intersection","Right Turn Hit Veh.","Rain","Heavy","Two-Way, Not Divided","Signal","ALBEMARLE ST NW / CONNECTICUT AVE NW",0,38.94788,-77.065674,"","","16",2015-03-31 16:32:00
15030081,2015-03-03,2015,"1410","Tuesday","",2,0,0,0,"NW","N","Not at Intersection","Parked Vehicle","Other","Medium","Two-Way, Divided Unprotected","None","4100 CONNECTICUT AVENUE NW",0,38.943763,-77.066241,"","","14",2015-03-03 14:10:00
15041154,2015-03-24,2015,"1706","Tuesday","Injury",2,1,0,0,"NW","N","At Intersection","Rear End","Clear","Heavy","Two-Way, Not Divided","Signal","33RD ST NW / M ST NW",4,38.90511,-77.06604,"","","17",2015-03-24 17:06:00
15037731,2015-03-18,2015,"1225","Wednesday","",2,0,0,15,"NW","N","Within 100ft of Intersection","Fixed Object","Clear","Light","One-Way, Not Divided","None","1327 33RD STREET NW",0,38.907575,-77.0659,"","","12",2015-03-18 12:25:00
15028999,2015-03-01,2015,"0127","Sunday","Prop. Damage",2,0,0,0,"NW","N","Within 100ft of Intersection","Left Turn Hit Veh.","Clear","Light","Two-Way, Not Divided","None","WHITEHAVEN PKWY NW / WISCONSIN AVE NW",77,38.916669,-77.068495,"Yes","","1",2015-03-01 01:27:00
15038006,2015-03-18,2015,"2120","Wednesday","Prop. Damage",1,0,0,75,"NW","Y","Not at Intersection","Fixed Object","Clear","","Two-Way, Divided Unprotected","None","3400 MCKINLEY ST NW",0,38.964741,-77.06826,"","","21",2015-03-18 21:20:00
15031635,2015-03-06,2015,"2235","Friday","Prop. Damage",2,0,0,0,"NW","N","At Intersection","Rear End","Other","Light","One-Way, Not Divided","Stop Sign","34TH ST NW / PROSPECT ST NW",2,38.90592,-77.0678,"","","22",2015-03-06 22:35:00
15033461,2015-03-10,2015,"1348","Tuesday","Prop. Damage",2,0,0,0,"NW","N","Within 100ft of Intersection","Rear End","Rain","Medium","Two-Way, Divided Unprotected","Flashing","1734 WISCONSIN AVENUE NW",1,38.914558,-77.067304,"","","13",2015-03-10 13:48:00
15038291,2015-03-19,2015,"1430","Thursday","",2,0,0,0,"NW","N","N/A","Rear End","Clear","Heavy","Two-Way, Not Divided","Signal","3401 M STREET NW",1,38.905217,-77.06797,"","","14",2015-03-19 14:30:00
15029971,2015-03-03,2015,"0933","Tuesday","",2,0,0,0,"NW","N","Within 100ft of Intersection","Side Swiped","Clear","Medium","Two-Way, Not Divided","Signal","1700 WISCONSIN AVENUE NW",0,38.913966,-77.067052,"","","9",2015-03-03 09:33:00
